number,date,title,location,topic,all instruments,main instrument,other instruments,mood,beard,genre,all styles,main style,other styles,noun,proper noun,length,inKey,tempo,videoID,layerorder
38,02.07.2009,Little Pink Boom Box,Los Angeles,Nerd,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Silly,Shadow,Rock,Fun,Fun,,Boom box,,0:43,A,108,https://www.youtube.com/watch?v=uQCKB77Q0sg,"Background, Location, Topic, Mood, Instrument, Beard"
39,02.08.2009,Changing the Color of My Walls,Berkeley,Life,Acoustic Guitar,Acoustic Guitar,,Tired,Shadow,Jazz,"Fun, Personal, Moving",Fun,"Personal, Moving",,,0:50,A?,72,https://www.youtube.com/watch?v=1go4XooMVu4,"Background, Location, Topic, Mood, Instrument, Beard"
40,02.09.2009,The Ballad of Stimulus Jones,Berkeley,Politics,Acoustic Guitar,Acoustic Guitar,,Silly,Shadow,Folk,Political,Political,,"Economy, Capitalism",,1:02,C,112,https://www.youtube.com/watch?v=0bA0ZAGpmfc,"Background, Location, Topic, Mood, Instrument, Beard"
41,02.10.2009,Wolf of the Battlefield,Berkeley,Video Games,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Silly,Clean,Rock,Nerd,Nerd,,NES,,1:59,E,92,https://www.youtube.com/watch?v=yoAZEsEvSoM,"Background, Location, Topic, Mood, Instrument, Beard"
42,02.11.2009,42,Berkeley,Song A Day,"Electric Guitar, Synths, Drum Machine",Electric Guitar,"Synths, Drum Machine",Silly,Shadow,Rock,Distortion,Distortion,,Nerd,,0:46,Am,139,https://www.youtube.com/watch?v=hzH4198ShGU,"Background, Location, Topic, Mood, Instrument, Beard"
43,02.12.2009,Sanae's Birthday Song,Berkeley,Commission,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Happy,Shadow,Rock,Personal,Personal,,Birthday,,0:56,F,97,https://www.youtube.com/watch?v=wHBVLYJ8N44,"Background, Location, Topic, Mood, Instrument, Beard"
44,2/13/2009,Rock and Roll Cats,Berkeley,Nerd,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Silly,Clean,Hip Hop,"Heavy, Silly",Heavy,Silly,"Cats, Collab",Ross Copeland,1:51,Fm,103,https://www.youtube.com/watch?v=kfVH3veC7-s,"Background, Location, Topic, Mood, Instrument, Beard"
45,2/14/2009,The Rain Returned,Berkeley,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Clean,Folk,"Narrative, Nerd",Narrative,Nerd,Multiple Universe,,2:12,Bbm/Am/Bb?,63,https://www.youtube.com/watch?v=ZPeqoThRlPg,"Background, Location, Topic, Mood, Instrument, Beard"
46,2/15/2009,The Legend of Zelda: Overworld,Berkeley,Video Games,"Acoustic Guitar, Electric Guitar, Bass, Drum Machine",Acoustic Guitar,"Electric Guitar, Bass, Drum Machine",Pensive,Clean,Rock,"Dark, Narrative, Nerd",Dark,"Narrative, Nerd",,"NES, Zelda",2:59,Gm,66,https://www.youtube.com/watch?v=Xg7_pvCbp8g,"Background, Location, Topic, Mood, Instrument, Beard"
47,2/16/2009,LifeForce,Berkeley,Video Games,"Electric Guitar, Drum Machine",Electric Guitar,Drum Machine,Excited,Clean,Electro,"Dark, Nerd",Dark,Nerd,,"NES, LifeForce",1:40,Gm,82,https://www.youtube.com/watch?v=FTtnC_PFBf8,"Background, Location, Topic, Mood, Instrument, Beard"
48,2/17/2009,Mummy's on Campus,Berkeley,Commission,"Electric Guitar, Drum Machine",Electric Guitar,Drum Machine,Pensive,Clean,Rock,"Cheesy, 80s",Cheesy,80s,,,3:52,Eb,88,https://www.youtube.com/watch?v=QxIin3LKmKc,"Background, Location, Topic, Mood, Instrument, Beard"
49,2/18/2009,Get Up off of Your Ass (And Just Do Something),Berkeley,Politics,"Electric Guitar, Drum Machine",Electric Guitar,Drum Machine,Excited,Clean,Rock,"Cheesy, 80s, Political, Motivational",Cheesy,"80s, Political, Motivational",,,2:26,D,131,https://www.youtube.com/watch?v=GUTFXxi1TEw,"Background, Location, Topic, Mood, Instrument, Beard"
50,2/19/2009,One of the Lucky Ones,Oakland,Poetic,Electric Guitar,Electric Guitar,,Pensive,Shadow,Rock,"Wistful, Narrative",Wistful,Narrative,,,2:32,A,76,https://youtu.be/W12UsLNacJE,"Background, Location, Topic, Mood, Instrument, Beard"
51,2/20/2009,Your Mother Doesn't Love You Anymore (An Extrasolar Anthem),Berkeley,Nerd,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Silly,Shadow,Rock,80s,80s,,,,2:30,D,112,https://www.youtube.com/watch?v=mr_Nb4zzsXQ,"Background, Location, Topic, Mood, Instrument, Beard"
52,2/21/2009,Zombie Ponies,Berkeley,Animals,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Silly,Clean,Rock,"Fun, Nerd",Fun,Nerd,"Zombies, Pony",,0:54,Bbm,160,https://www.youtube.com/watch?v=qycQVQEWpqQ,"Background, Location, Topic, Mood, Instrument, Beard"
53,2/22/2009,Geriatrics in Drag,Berkeley,Commission,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Shadow,Rock,"80s, Silly",80s,Silly,,,1:00,Am,160,https://www.youtube.com/watch?v=rEI2bO4t_wU,"Background, Location, Topic, Mood, Instrument, Beard"
54,2/23/2009,Let's All Go to the Lobby (Fuck That!),Berkeley,Commission,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Angry,Shadow,Rock,"Distortion, Angry, Nerd",Distortion,"Angry, Nerd",,,2:30,F,150,https://www.youtube.com/watch?v=aTaQTcm2jqk,"Background, Location, Topic, Mood, Instrument, Beard"
55,2/24/2009,BigFaceSmallFace,Berkeley,Kids,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Silly,Shadow,Rock,"Cheesy, Silly",Cheesy,Silly,,,1:11,F#,100,https://www.youtube.com/watch?v=_Xn-77ao7zA,"Background, Location, Topic, Mood, Instrument, Beard"
56,2/25/2009,Co-op Theme Song,Berkeley,Video Games,"Electric Guitar, Drum Machine",Electric Guitar,Drum Machine,Pensive,Clean,Rock,"Motivational, Love, Nerd",Motivational,"Love, Nerd",,,1:53,D,200,https://www.youtube.com/watch?v=NoSjW9H7bZo,"Background, Location, Topic, Mood, Instrument, Beard"
57,2/26/2009,All My Friends Are Dinosaurs,Berkeley,Instrumental,"Samples, Electric Guitar, Drum Machine",Samples,"Electric Guitar, Drum Machine",Pensive,Clean,Ambient,Dreamy,Dreamy,,,,4:40,D/G?,85,https://www.youtube.com/watch?v=VXju0WFRpyA,"Background, Location, Topic, Mood, Instrument, Beard"
58,2/27/2009,Marilyn Langois,Berkeley,Commission,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Clean,Rock,"Fun, Personal, Silly",Fun,"Personal, Silly","Friend, Birthday",,1:10,C,120,https://www.youtube.com/watch?v=87LQ-ShXf6Q,"Background, Location, Topic, Mood, Instrument, Beard"
59,2/28/2009,Shamus and Precious,Oakland,Life,Baritone Ukulele,Baritone Ukulele,,Sad,Clean,Folk,"Dark, Rough, Personal, Narrative",Dark,"Rough, Personal, Narrative",,,1:08,Bm,72,https://www.youtube.com/watch?v=LMFfytNSRDU,"Background, Location, Topic, Mood, Instrument, Beard"
60,03.01.2009,2100 California St.,Berkeley,Life,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Happy,Clean,Rock,"Personal, Silly, Nerd",Personal,"Silly, Nerd",,,1:16,F,97,https://www.youtube.com/watch?v=FmxAGQ1ioyc,"Background, Location, Topic, Mood, Instrument, Beard"
61,03.02.2009,Knock Knock,Berkeley,Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Clean,Rock,"Dark, Silly",Dark,Silly,,,0:58,Dm,120,https://www.youtube.com/watch?v=m_A-rD7txSQ,"Background, Location, Topic, Mood, Instrument, Beard"
62,03.03.2009,I'm the Same As I Ever Was,Berkeley,Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Pensive,Clean,Electro,Dark,Dark,,,,0:39,Bm,115,https://www.youtube.com/watch?v=ZrR53d-OuQQ,"Background, Location, Topic, Mood, Instrument, Beard"
63,03.04.2009,Teddy Bear Revolution,Berkeley,Kids,"Organ, Piano, Drum Machine",Organ,"Piano, Drum Machine",Angry,Clean,Rock,"Anthem, Silly, Nerd, Animals",Anthem,"Silly, Nerd, Animals","Bear, Teddy Bear",,1:30,C,60,https://www.youtube.com/watch?v=oFS4CSnL2uU,"Background, Location, Topic, Mood, Instrument, Beard"
64,03.05.2009,The Spyders,Berkeley,Commission,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Clean,Rock,"Friend, Silly, Personal",Friend,"Silly, Personal",,,1:30,Bb,90,https://www.youtube.com/watch?v=rmWP7D7BHoM,"Background, Location, Topic, Mood, Instrument, Beard"
65,03.06.2009,Tetris: a History in Song,Berkeley,Video Games,Acoustic Guitar,Acoustic Guitar,,Intense,Clean,Folk,"Funny, Nerd, History, Educational",Funny,"Nerd, History, Educational","NES, Tetris, Alexey Pajitnov",,3:41,G#m,130,https://www.youtube.com/watch?v=34bYJDNS6Zo,"Background, Location, Topic, Mood, Instrument, Beard"
66,03.07.2009,Night,Berkeley,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Clean,Folk,Delicate,Delicate,,,,2:19,E,105,https://www.youtube.com/watch?v=BMobOOV0928,"Background, Location, Topic, Mood, Instrument, Beard"
67,03.08.2009,"Zombie Rights, Zombie Dance",Berkeley,Nerd,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Clean,Rock,"Funny, Nerd",Funny,Nerd,Zombie,,1:25,C,110,https://www.youtube.com/watch?v=40rCqT_v3hU,"Background, Location, Topic, Mood, Instrument, Beard"
68,03.09.2009,A Ringtone for Ivory King,Berkeley,Ringtone,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Shadow,Rock,Personal,Personal,,Ringtone,,0:30,C,170,https://www.youtube.com/watch?v=zszgC2VeVBA,"Background, Location, Topic, Mood, Instrument, Beard"
69,03.10.2009,"Oh, It's Probably Time",Berkeley,Contest,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Chill,Clean,Rock,"Anthem, Wistful",Anthem,Wistful,,,0:48,G,80,https://www.youtube.com/watch?v=VVoVAyXEJ68,"Background, Location, Topic, Mood, Instrument, Beard"
70,03.11.2009,Can We Kick It With Kikkoman (Of Course We Can!),Berkeley,Contest,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Silly,Clean,Rock,Fun,Fun,,"Bear, Company, Teddy Bear",Kikkoman,1:01,C,120,https://www.youtube.com/watch?v=60-83hmpjDw,"Background, Location, Topic, Mood, Instrument, Beard"
71,03.12.2009,And They Call It natural,Berkeley,Commission,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Sad,Shadow,Rock,Wistful,Wistful,,,,1:59,C,60,https://www.youtube.com/watch?v=c23PUpoZ9hE,"Background, Location, Topic, Mood, Instrument, Beard"
72,3/13/2009,Penguins Having a Party (2009),Berkeley,Animals,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Shadow,Rock,"Anthem, Silly, Nerd",Anthem,"Silly, Nerd",Penguins,,1:44,C,106,https://www.youtube.com/watch?v=QGTEGVtoXyA,"Background, Location, Topic, Mood, Instrument, Beard"
73,3/14/2009,nano nano Nightmare,Berkeley,Contest,"Synths, Drum Machine",Synths,Drum Machine,Silly,Clean,Rock,"Contest, Narrative, Silly",Contest,"Narrative, Silly",Robots,,1:47,C,105,https://www.youtube.com/watch?v=Pwf3dZSwjuk,"Background, Location, Topic, Mood, Instrument, Beard"
74,3/15/2009,The Number Nine,Berkeley,Kids,"Synths, Drum Machine",Synths,Drum Machine,Silly,Clean,Electro,"Fun, Nerd, Educational",Fun,"Nerd, Educational",,,1:34,Bb,140,https://www.youtube.com/watch?v=p2Cvn2hULws,"Background, Location, Topic, Mood, Instrument, Beard"
75,3/16/2009,"Don't Give Up, Chrissy",Berkeley,Commission,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Sad,Clean,Rock,"Motivational, Wistful",Motivational,Wistful,,,1:30,C,80,https://www.youtube.com/watch?v=HfVFsU-aQ90,"Background, Location, Topic, Mood, Instrument, Beard"
76,3/17/2009,"Hey, Paul Krugman",Berkeley,Politics,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Angry,Clean,Rock,"Heavy, Political, Economy",Heavy,"Political, Economy","Viral, Economist",,1:41,F,80,https://www.youtube.com/watch?v=XOYAuk809fY,"Background, Location, Topic, Mood, Instrument, Beard"
77,3/18/2009,Copying isn't Theft,Berkeley,Nerd,"Electric Guitar, Samples, Drum Machine",Electric Guitar,"Samples, Drum Machine",Happy,Clean,Rock,"Fun, Political, Internet",Fun,"Political, Internet",,,1:09,G#,160,https://www.youtube.com/watch?v=zMP3QOlWV64,"Background, Location, Topic, Mood, Instrument, Beard"
78,3/19/2009,Saving Newspapers,Berkeley,Nerd,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Silly,Clean,Rock,"Fun, Political, Internet",Fun,"Political, Internet",,,2:41,Am,145,https://www.youtube.com/watch?v=52VdW8qFJ6Q,"Background, Location, Topic, Mood, Instrument, Beard"
79,3/20/2009,Spring Equinox,Berkeley,Instrumental,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Clean,Ambient,"Dreamy, Weather, Spring",Dreamy,"Weather, Spring",,,1:10,G,90,https://www.youtube.com/watch?v=9TJ6kXDHtsU,"Background, Location, Topic, Mood, Instrument, Beard"
80,3/21/2009,Out My Front Door,Berkeley,Life,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Silly,Clean,Rock,"Wistful, Funny",Wistful,Funny,,,1:42,C,90,https://www.youtube.com/watch?v=Zov56wnlYUw,"Background, Location, Topic, Mood, Instrument, Beard"
81,3/22/2009,"Come On, Nouriel",Berkeley,Politics,"Piano, Drum Machine",Piano,Drum Machine,Happy,Clean,Rock,"Political, Economy",Political,Economy,Economist,Nouriel Roubini,1:26,C#,120,https://www.youtube.com/watch?v=vMapa6591M4,"Background, Location, Topic, Mood, Instrument, Beard"
82,3/23/2009,A Long Time Coming (EFCA),Berkeley,Social Justice,"Acoustic Guitar, Electric Guitar, Bass, Drum Machine",Acoustic Guitar,"Electric Guitar, Bass, Drum Machine",Happy,Clean,Folk,"Motivational, Wistful, Political",Motivational,"Wistful, Political",SJW,,1:59,Bb,155,https://www.youtube.com/watch?v=F36rY4VMRPE,"Background, Location, Topic, Mood, Instrument, Beard"
83,3/24/2009,My Obama Neurosis,Berkeley,Politics,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Confused,Clean,Electro,Funny,Funny,,"Political, Obama",,1:49,C,130,https://www.youtube.com/watch?v=BeTV3eIkzp0,"Background, Location, Topic, Mood, Instrument, Beard"
84,3/25/2009,1600 PennsylvaniaAve.,Berkeley,TV,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Happy,Clean,Rock,Political,Political,,TV Show,David Shuster,1:26,E,150,https://www.youtube.com/watch?v=Zm_XoG1BqSY,"Background, Location, Topic, Mood, Instrument, Beard"
85,3/26/2009,Funa Day Anthem,Berkeley,Song A Day,"Electric Guitar, Shaker",Electric Guitar,Shaker,Happy,Clean,Folk,"Personal, Motivational, Redux",Personal,"Motivational, Redux",,,2:30,D,138,https://www.youtube.com/watch?v=TJ9Z4DgFJ0w,"Background, Location, Topic, Mood, Instrument, Beard"
86,3/27/2009,"You're Doing It Right, Jon Stewart",Berkeley,TV,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Clean,Rock,Political,Political,,TV Show,Jon Stewart,1:40,G,80,https://www.youtube.com/watch?v=QtL5hvWKcvk,"Background, Location, Topic, Mood, Instrument, Beard"
